claim_id,category,priority,source_path,source_value,expected_fragments,status,notes
rule_tac_high_Proteostasis_score,rule_defined_state,critical,04_results/validation/tmem158_rule_ecology_subtype_reproducibility.csv,signed_z=2.84052785756882; meta_FDR=0.0112597347591771; positive_fdr=2,"higher proteostasis score (signed z=2.841, meta-FDR=0.0113, 2 FDR-positive cohorts) | higher proteostasis score (signed z=2.841, meta-FDR=0.0113, two FDR-positive cohort | higher proteostasis score by signed meta-analysis (signed z=2.841, meta-FDR=0.0113, two FDR-positive cohort | higher proteostasis score but less replicated boundary signal (signed z=2.841, meta-FDR=0.0113, two FDR-positive cohort",pass,
rule_tac_high_Survival_score,rule_defined_state,critical,04_results/validation/tmem158_rule_ecology_subtype_reproducibility.csv,signed_z=2.49040476248975; meta_FDR=0.0212662812966484; positive_fdr=2,"higher cell-survival transcriptional score (signed z=2.490, meta-FDR=0.0213, 2 FDR-positive cohorts) | higher cell-survival transcriptional score (signed z=2.490, meta-FDR=0.0213, two FDR-positive cohort | higher cell-survival transcriptional score by signed meta-analysis (signed z=2.490, meta-FDR=0.0213, two FDR-positive cohort | higher cell-survival transcriptional score but less replicated boundary signal (signed z=2.490, meta-FDR=0.0213, two FDR-positive cohort",pass,
rule_tac_high_Drug_efflux_score,rule_defined_state,critical,04_results/validation/tmem158_rule_ecology_subtype_reproducibility.csv,signed_z=4.07923019897252; meta_FDR=0.0002259253839532; positive_fdr=1,"Drug-efflux score showed a meta-positive (signed z=4.079, meta-FDR=2.26e-4, 1 FDR-positive cohorts) | Drug-efflux score showed a meta-positive (signed z=4.079, meta-FDR=2.26e-4, one FDR-positive cohort | Drug-efflux score showed a meta-positive by signed meta-analysis (signed z=4.079, meta-FDR=2.26e-4, one FDR-positive cohort | Drug-efflux score showed a meta-positive but less replicated boundary signal (signed z=4.079, meta-FDR=2.26e-4, one FDR-positive cohort",pass,
full_tmem158_caupr_caf_proteostasis,composite_state,critical,04_results/validation/tmem158_ecology_state_reproducibility.csv,signed_z=3.6392541763494; meta_FDR=0.00213911997452778; positive_fdr=2,"proteostasis score (signed z=3.639, meta-FDR=0.00214, 2 FDR-positive cohorts) | proteostasis score (signed z=3.639, meta-FDR=0.00214, two FDR-positive cohorts)",pass,
permutation_Drug_efflux_score,specificity_test,critical,04_results/validation/tmem158_tac_high_permutation_summary.csv,delta=0.542551442964179; p=0.00349825087456272; FDR=0.0104947526236882,"drug-efflux transcriptional readout (weighted median delta=0.543, empirical two-sided P=0.00350, empirical FDR=0.0105) | drug-efflux transcriptional readout (delta=0.543, empirical two-sided P=0.0035, empirical FDR=0.010) | delta=0.543, empirical two-sided P=0.0035, empirical FDR=0.010 | delta=0.543, empirical two-sided P=0.003, empirical FDR=0.010",pass,
permutation_Proteostasis_score,specificity_test,critical,04_results/validation/tmem158_tac_high_permutation_summary.csv,delta=0.349398283339735; p=0.0814592703648176; FDR=0.122188905547226,"Proteostasis showed a positive (weighted median delta=0.349, empirical two-sided P=0.08146, empirical FDR=0.1222) | Proteostasis showed a positive (delta=0.349, empirical two-sided P=0.0815, empirical FDR=0.122) | delta=0.349, empirical two-sided P=0.0815, empirical FDR=0.122 | delta=0.349, empirical two-sided P=0.081, empirical FDR=0.122",pass,
permutation_Survival_score,specificity_test,critical,04_results/validation/tmem158_tac_high_permutation_summary.csv,delta=0.147247449768847; p=0.434282858570715; FDR=0.434282858570715,"survival score was not random-label specific (weighted median delta=0.147, empirical two-sided P=0.43428, empirical FDR=0.4343) | survival score was not random-label specific (delta=0.147, empirical two-sided P=0.4343, empirical FDR=0.434) | delta=0.147, empirical two-sided P=0.4343, empirical FDR=0.434 | delta=0.147, empirical two-sided P=0.434, empirical FDR=0.434",pass,
tac_high_top_meta_genes,whole_transcriptome,critical,04_results/transcriptome/tmem158_tac_high_top_meta_genes.csv,POSTN; COL6A3; COL1A2; TMEM158; CHST7; COL3A1; FAP; SULF1; COL1A1; COL6A2,"POSTN, COL6A3, COL1A2, TMEM158, CHST7, COL3A1, FAP, SULF1, COL1A1 and COL6A2",pass,
core_caf_custom_er_proteostasis,whole_transcriptome,critical,04_results/transcriptome/tmem158_tac_high_geneset_enrichment.csv,CUSTOM_ER_PROTEOSTASIS FDR=0.0334061052488574,ER proteostasis (FDR=0.033),pass,
core_caf_custom_drug_efflux_boundary,whole_transcriptome,critical,04_results/transcriptome/tmem158_tac_high_geneset_enrichment.csv,CUSTOM_DRUG_EFFLUX_TRANSPORT FDR=0.148248815910661,drug-efflux transporters as a weaker boundary signal (FDR=0.148),pass,
caf_adjusted_score_boundary,caf_adjusted_boundary,critical,04_results/validation/tmem158_stromal_adjusted_score_meta.csv,proteostasis meta_FDR=0.410124197251879; drug_efflux meta_FDR=0.332397249231485,proteostasis meta-FDR=0.410; drug-efflux meta-FDR=0.332,pass,
caf_adjusted_core_axis_drug_efflux,caf_adjusted_boundary,critical,04_results/validation/tmem158_stromal_adjusted_score_model_meta.csv,meta_FDR=0.00434690401476792,meta-FDR=0.00435,pass,
caf_adjusted_top_genes,caf_adjusted_transcriptome,critical,04_results/transcriptome/tmem158_stromal_adjusted_top_meta_genes.csv,CHST7; TMEM158; PTDSS1; MAFG; SPRYD7; ABCC1; HK1; NFE2L2; TALDO1,"CHST7, TMEM158, PTDSS1, MAFG, ABCC1, NFE2L2, TALDO1, OSGIN1 and TOMM22",pass,
caf_adjusted_custom_caf_ecm,caf_adjusted_transcriptome,critical,04_results/transcriptome/tmem158_stromal_adjusted_geneset_enrichment.csv,CUSTOM_CAF_ECM FDR=0.373713945800344,Custom CAF/ECM was no longer FDR-positive after adjustment (FDR=0.374),pass,
caf_adjusted_custom_er,caf_adjusted_transcriptome,critical,04_results/transcriptome/tmem158_stromal_adjusted_geneset_enrichment.csv,CUSTOM_ER_PROTEOSTASIS FDR=0.289737715680994,custom ER-proteostasis and drug-efflux modules were also not FDR-positive,pass,
caf_adjusted_custom_drug,caf_adjusted_transcriptome,critical,04_results/transcriptome/tmem158_stromal_adjusted_geneset_enrichment.csv,CUSTOM_DRUG_EFFLUX_TRANSPORT FDR=0.254401687548704,FDR=0.290 and 0.254,pass,
gse53625_paired_TMEM158,external_clinical_calibration,critical,04_results/validation/tmem158_gse53625_paired_tumor_normal_tests.csv,n_pairs=179; delta=0.4660175; FDR=1.05411720379638e-05,"TMEM158 was significantly higher in tumours than paired normal tissues (paired delta=0.466, FDR=1.05e-5) | TMEM158 was significantly higher in tumours than paired normal tissues (paired median delta=0.466, FDR=1.05e-5)",pass,
gse53625_paired_ECM_integrin_bridge_score,external_clinical_calibration,critical,04_results/validation/tmem158_gse53625_paired_tumor_normal_tests.csv,n_pairs=179; delta=1.06200004965076; FDR=0,"ECM-integrin bridge score was strongly tumour-elevated (paired delta=1.062, FDR<0.001) | ECM-integrin bridge score was strongly tumour-elevated (paired median delta=1.062, FDR<0.001)",pass,
gse53625_paired_Residual_stress_score,external_clinical_calibration,critical,04_results/validation/tmem158_gse53625_paired_tumor_normal_tests.csv,n_pairs=179; delta=0.109362361255715; FDR=0.0191080277175282,"CAF-adjusted residual-stress score also increased modestly in tumours (paired delta=0.109, FDR=0.019) | CAF-adjusted residual-stress score also increased modestly in tumours (paired median delta=0.109, FDR=0.019)",pass,
gse53625_tac_ECM_integrin_bridge_score,external_clinical_calibration,critical,04_results/validation/tmem158_gse53625_tac_state_contrasts.csv,n_high=60; n_low=119; delta=0.558416415082461; FDR=1.80094835181455e-17,"higher ECM-integrin bridge score than other tumours (delta=0.558, FDR=1.80e-17)",pass,
gse53625_tac_Residual_stress_score,external_clinical_calibration,critical,04_results/validation/tmem158_gse53625_tac_state_contrasts.csv,n_high=60; n_low=119; delta=0.618278306033003; FDR=1.68158806159774e-09,"higher residual-stress score (delta=0.618, FDR=1.68e-9)",pass,
gse53625_tac_Proteostasis_score,external_clinical_calibration,critical,04_results/validation/tmem158_gse53625_tac_state_contrasts.csv,n_high=60; n_low=119; delta=0.758410802119338; FDR=1.9564018649385e-12,"higher proteostasis score (delta=0.758, FDR=1.96e-12)",pass,
gse53625_tac_CAF_score,external_clinical_calibration,critical,04_results/validation/tmem158_gse53625_tac_state_contrasts.csv,n_high=60; n_low=119; delta=0.687228025317487; FDR=1.61620248120845e-18,"higher CAF score (delta=0.687, FDR=1.62e-18)",pass,
gse53625_survival_negative,external_clinical_calibration,critical,04_results/survival/tmem158_gse53625_survival_cox.csv,continuous TMEM158 (P=0.646); full TAC score (P=0.564); TAC_high status (P=0.776),"continuous TMEM158 (P=0.646), full TAC score (P=0.564), TAC_high status (P=0.776) | continuous TMEM158 (P=0.646), full TAC score (P=0.564) and TAC_high status (P=0.776)",pass,
multiomics_TMEM158_log2CNA_vs_TMEM158,multiomics_boundary,critical,04_results/mutation_cnv_methylation/tmem158_cbioportal_regulatory_correlations.csv,rho=-0.236887081430885; FDR=0.00529585038552673,"TMEM158_log2CNA was negatively correlated with TMEM158 expression (rho=-0.237, FDR=0.00530)",pass,
multiomics_TMEM158_log2CNA_vs_full_axis_ecology_score,multiomics_boundary,critical,04_results/mutation_cnv_methylation/tmem158_cbioportal_regulatory_correlations.csv,rho=-0.263522442819027; FDR=0.00251859158334101,"with the full-axis ecology score (rho=-0.264, FDR=0.00252)",pass,
multiomics_TMEM158_promoter_methylation_vs_TMEM158,multiomics_boundary,critical,04_results/mutation_cnv_methylation/tmem158_cbioportal_regulatory_correlations.csv,rho=0.182465144353021; FDR=0.0405889755857402,"Promoter methylation was positively, not negatively, correlated with TMEM158 expression (rho=0.182, FDR=0.0406)",pass,
multiomics_TMEM158_promoter_methylation_vs_full_axis_ecology_score,multiomics_boundary,critical,04_results/mutation_cnv_methylation/tmem158_cbioportal_regulatory_correlations.csv,rho=0.176764659008972; FDR=0.0425666084296931,"with the full-axis ecology score (rho=0.177, FDR=0.0426)",pass,
multiomics_mutation_records_zero,multiomics_boundary,critical,04_results/mutation_cnv_methylation/tmem158_cbioportal_mutation_summary.csv,mutation_records=0,zero TMEM158 mutation records,pass,
scrna_rule_state_counts,single_cell_boundary,critical,04_results/immune/tmem158_scrna_rule_state_counts.csv,"TAC_high=14, Axis_only=16, CAF_only=16, TAC_low=14","TAC_high=14, Axis_only=16, CAF_only=16, TAC_low=14",pass,
scrna_immune_boundary_fdr,single_cell_boundary,critical,04_results/immune/tmem158_scrna_rule_state_immune_tests.csv,all FDR values=['0.938'],all had FDR=0.938,pass,
scrna_signature_genes_extracted,single_cell_localization,critical,04_results/scrna_signature/tmem158_tac_high_scrna_signature_coverage.csv,"TAC_high observed gene counts=[36, 50, 142, 200]",392 unique TAC_high signature genes,pass,
scrna_fibroblast_compartment_tests,single_cell_localization,critical,04_results/scrna_signature/tmem158_tac_high_scrna_signature_compartment_tests.csv,fibroblast_higher_FDR=9/9,9/9 paired Fibroblast-vs-other comparisons | all nine paired Fibroblast-vs-other comparisons,pass,
scrna_top50_fibroblast_state,single_cell_localization,critical,04_results/scrna_signature/tmem158_tac_high_scrna_signature_state_tests.csv,delta=0.370672157881836; FDR=0.00262289324947051,"delta=0.371, FDR=0.003",pass,
lr_pair_count_and_top,caf_epi_bridge,critical,04_results/ligand_receptor/tmem158_tac_high_caf_epi_lr_pair_tests.csv,FDR pairs=12; POSTN->ITGA5 delta=0.921205494684006; FDR=0.0329072788348097,"Twelve pairs were higher in TAC_high at FDR<0.10, led by POSTN->ITGA5 (delta=0.921, FDR=0.033)",pass,
lr_axis_ecm_mif,caf_epi_bridge,critical,04_results/ligand_receptor/tmem158_tac_high_caf_epi_lr_axis_tests.csv,ECM delta=0.268606980205792; FDR=0.0442903075504795; MIF delta=0.303616797396555; FDR=0.0900275208603532,"ECM-integrin (delta=0.269, FDR=0.044) and MIF/SPP1 (delta=0.304, FDR=0.090)",pass,
lr_compartment_expression_audit,caf_epi_bridge,critical,06_tables/tmem158_lr_compartment_expression_audit_top_candidates.csv,audited=12; pass_expected=6; POSTN fibroblast=1.753; POSTN epithelial receptor=0.094; POSTN FDR=0.033; FN1 FDR=0.042,"top 12 structural candidates found 6 pairs with the expected fibroblast-ligand and detectable epithelial-receptor pattern | POSTN->ITGA5 and FN1->ITGA5 passed this expression-feasibility check; for POSTN->ITGA5, fibroblast POSTN median expression was 1.753, epithelial ITGA5 median expression was 0.094 and the LR score FDR was 0.033",pass,
gse221561_recovery_status,independent_single_cell_context,critical,04_results/gse221561/tmem158_gse221561_tac_context_status.csv,libraries_parsed=7; libraries_failed=4; target_genes_covered=124,partial recovery of 7 of 11 listed libraries | All 124 requested TMEM158/TAC_high/ECM-integrin target genes were covered,pass,
gse221561_tac_meta_ecm,independent_single_cell_context,critical,04_results/gse221561/tmem158_gse221561_tac_context_status.csv,delta=3.149; p=0.031,Fibroblast-versus-epithelial TAC meta-ECM delta was 3.149 (paired Wilcoxon P=0.031),pass,
gse221561_epithelial_proteostasis_correlation,independent_single_cell_context,critical,04_results/gse221561/tmem158_gse221561_tac_matched_sample_correlations.csv,rho=0.942857142857143; FDR=0.0288279883381924,"rho=0.943, FDR=0.029",pass,
spatial_fibroblast_alpha_sma_context,spatial_source_data_context,critical,04_results/spatial_progression/tmem158_spatial_progression_context_status.csv,fibroblast_delta=3.297; fibroblast_rho=0.789; alpha_delta=13.891; alpha_rho=0.639,DSP fibroblast abundance increased across histological stages (ESCC-minus-NE median delta=3.297; stage-trend rho=0.789; FDR<0.001) | alpha-SMA fibroblast IF also increased from NE to ESCC (delta=13.891; stage-trend rho=0.639; FDR<0.001),pass,
public_protein_uniprot_context,protein_context,critical,04_results/validation/tmem158_public_protein_knowledgebase_summary.csv,UniProt:reviewed_accession=Q8WZ71; UniProt:sequence_length_aa=300; UniProt:subcellular_location=Membrane; UniProt:topology=Multi-pass membrane protein; HPA:antibody=HPA074974; HPA:subcellular_location=,"reviewed accession Q8WZ71, Transmembrane protein 158, 300 amino acids, with membrane and multi-pass membrane protein annotations",pass,
public_protein_quickgo_boundary,protein_context,boundary,04_results/validation/tmem158_public_protein_knowledgebase_summary.csv,UniProt:reviewed_accession=Q8WZ71; UniProt:sequence_length_aa=300; UniProt:subcellular_location=Membrane; UniProt:topology=Multi-pass membrane protein; HPA:antibody=HPA074974; HPA:subcellular_location=,QuickGO/UniProt cellular-component evidence was limited to membrane (GO:0016020),pass,
public_protein_hpa_context,protein_context,critical,04_results/validation/tmem158_public_protein_knowledgebase_summary.csv,UniProt:reviewed_accession=Q8WZ71; UniProt:sequence_length_aa=300; UniProt:subcellular_location=Membrane; UniProt:topology=Multi-pass membrane protein; HPA:antibody=HPA074974; HPA:subcellular_location=,"HPA mapped TMEM158 to ENSG00000249992, classified it as a predicted membrane protein, provided protein-level evidence and listed an approved IHC antibody (HPA074974)",pass,
public_protein_hpa_boundary,protein_context,boundary,04_results/validation/tmem158_public_protein_knowledgebase_summary.csv,UniProt:reviewed_accession=Q8WZ71; UniProt:sequence_length_aa=300; UniProt:subcellular_location=Membrane; UniProt:topology=Multi-pass membrane protein; HPA:antibody=HPA074974; HPA:subcellular_location=,"HPA did not provide subcellular IF localization, reported protein tissue distribution as not detected and did not establish ESCC-specific protein validation",pass,
alphafold_coverage_global_confidence,protein_topology_context,critical,04_results/structure/tmem158_alphafold_model_summary.csv,coverage=1-300; global_plddt=56.66; tm1=76.13; tm2=43.96,canonical Q8WZ71 model covered residues 1-300 (model version 6) with global pLDDT 56.66,pass,
alphafold_tm1_confidence,protein_topology_context,critical,04_results/structure/tmem158_alphafold_model_summary.csv,tm1_mean_plddt=76.13,first segment had higher AlphaFold confidence (mean pLDDT 76.13),pass,
alphafold_tm2_boundary,protein_topology_context,boundary,04_results/structure/tmem158_alphafold_model_summary.csv,tm2_mean_plddt=43.96,second segment remained low-confidence (mean pLDDT 43.96),pass,
alphafold_claim_ceiling,protein_topology_context,boundary,04_results/structure/tmem158_alphafold_model_summary.csv,"AlphaFold/UniProt support membrane-topology plausibility, especially TM1, but do not prove ER localization or physical interaction","does not establish direct ER localization, binding to Ca2/UPR proteins, interaction with ECM components, or ESCC-specific protein validation",pass,
