item_id,source_article,linked_pmcid,review_status,risk_tier,pmc_risk_class,exact_alias_hits,escc_hits,caupr_hits,caf_hits,interpretation,next_action
DG015,Single-cell transcriptomic analysis reveals prognosis-related stromal signatures that potentiate stratification of patients with extrahepatic cholangiocarcinoma.,PMC11983802,auto_xml_reviewed_no_direct_escc_duplication,low,exact_alias_non_escc_or_review_context,21,0,0,220,PMC XML did not show a direct TMEM158-ESCC axis/ecology duplication signal.,Manual supplement check only if article has downloadable supplementary tables.
DG016,Transcriptome meta-analysis of peripheral lymphomononuclear cells indicates that gestational diabetes is closer to type 1 diabetes than to type 2 diabetes mellitus.,,manual_required_publisher_fulltext_or_supplement,manual,,,,,,No successful automated PMC XML review was available; publisher full text and supplementary files remain unresolved.,"Download publisher HTML/PDF and supplementary tables, then rerun local file scan."
DG017,TMEM158 promotes the proliferation and migration of glioma cells via STAT3 signaling in glioblastomas.,PMC9395270,auto_xml_reviewed_context_boundary,boundary,manual_high_priority_exact_alias_escc_context,220,2,1,5,"Exact TMEM158/RIS1 alias co-occurred with ESCC-like or signature/stroma terms in PMC XML, but source title/context indicates non-ESCC primary article or broad review; no direct TMEM158-ESCC TAC/CaUPR duplicate was detected by XML scan.",Manual supplement check only if article has downloadable supplementary tables.
DG018,Research progress on TMEM proteins in cancer progression and chemoresistance (Review).,PMC12530797,auto_xml_reviewed_context_boundary,boundary,manual_high_priority_exact_alias_escc_context,52,14,14,28,"Exact TMEM158/RIS1 alias co-occurred with ESCC-like or signature/stroma terms in PMC XML, but source title/context indicates non-ESCC primary article or broad review; no direct TMEM158-ESCC TAC/CaUPR duplicate was detected by XML scan.",Manual supplement check only if article has downloadable supplementary tables.
DG019,TMEM158 expression is negatively regulated by AR signaling and associated with favorite survival outcomes in prostate cancers.,PMC9663988,auto_xml_reviewed_context_boundary,boundary,manual_high_priority_exact_alias_escc_context,158,1,0,2,"Exact TMEM158/RIS1 alias co-occurred with ESCC-like or signature/stroma terms in PMC XML, but source title/context indicates non-ESCC primary article or broad review; no direct TMEM158-ESCC TAC/CaUPR duplicate was detected by XML scan.",Manual supplement check only if article has downloadable supplementary tables.
DG020,Transcription factor EHF interacting with coactivator AJUBA aggravates malignancy and acts as a therapeutic target for gastroesophageal adenocarcinoma.,PMC11120281,auto_xml_reviewed_same_article_not_near,low,exact_alias_and_escc_in_same_article_not_near,1,9,1,0,TMEM158 alias and ESCC terms occurred in the same PMC article but not in proximity; treated as background/reference-list risk rather than direct duplication.,Manual supplement check only if article has downloadable supplementary tables.
DG021,Cross-Talk Between Cancer and Its Cellular Environment-A Role in Cancer Progression.,PMC11940884,auto_xml_reviewed_same_article_not_near,low,exact_alias_and_escc_in_same_article_not_near,4,42,5,823,TMEM158 alias and ESCC terms occurred in the same PMC article but not in proximity; treated as background/reference-list risk rather than direct duplication.,Manual supplement check only if article has downloadable supplementary tables.
DG022,The Spatiotemporal Heterogeneity of Tumor-Associated Stromal Cells: Reprogramming Plasticity to Unlock Precision Cancer Immunotherapy.,PMC12857762,manual_required_fetch_failed_or_unreadable,manual,fetch_failed_manual_required,0,0,0,0,PMC XML fetch failed; publisher/full-text review still required.,Manual supplement check only if article has downloadable supplementary tables.
DG023,CH25H Promotes Autophagy and Regulates the Malignant Progression of Laryngeal Squamous Cell Carcinoma Through the PI3K-AKT Pathway.,PMC11491687,auto_xml_reviewed_context_boundary,boundary,manual_high_priority_exact_alias_escc_context,9,5,1,2,"Exact TMEM158/RIS1 alias co-occurred with ESCC-like or signature/stroma terms in PMC XML, but source title/context indicates non-ESCC primary article or broad review; no direct TMEM158-ESCC TAC/CaUPR duplicate was detected by XML scan.",Manual supplement check only if article has downloadable supplementary tables.
DG024,The analysis of tumor-infiltrating immune cell and ceRNA networks in laryngeal squamous cell carcinoma.,PMC9351901,auto_xml_reviewed_context_boundary,boundary,manual_high_priority_exact_alias_escc_context,24,1,0,2,"Exact TMEM158/RIS1 alias co-occurred with ESCC-like or signature/stroma terms in PMC XML, but source title/context indicates non-ESCC primary article or broad review; no direct TMEM158-ESCC TAC/CaUPR duplicate was detected by XML scan.",Manual supplement check only if article has downloadable supplementary tables.
DG025,Role of PI3K/AKT pathway in cancer: the framework of malignant behavior.,PMC7295848,manual_required_fetch_failed_or_unreadable,manual,fetch_failed_manual_required,0,0,0,0,PMC XML fetch failed; publisher/full-text review still required.,Manual supplement check only if article has downloadable supplementary tables.
DG026,Elucidating the Role of LINC01980 in Laryngeal Cancer: From Expression Profiling to Regulatory Network Prediction.,PMC11927154,auto_xml_reviewed_same_article_not_near,low,exact_alias_and_escc_in_same_article_not_near,1,9,0,3,TMEM158 alias and ESCC terms occurred in the same PMC article but not in proximity; treated as background/reference-list risk rather than direct duplication.,Manual supplement check only if article has downloadable supplementary tables.
DG027,"The roles and functions of TMEM protein family members in cancers, cardiovascular and kidney diseases (Review).",PMC11843188,auto_xml_reviewed_same_article_not_near,low,exact_alias_and_escc_in_same_article_not_near,8,2,7,0,TMEM158 alias and ESCC terms occurred in the same PMC article but not in proximity; treated as background/reference-list risk rather than direct duplication.,Manual supplement check only if article has downloadable supplementary tables.
DG028,The emerging role of transmembrane proteins in tumorigenesis and therapy.,PMC11912080,auto_xml_reviewed_same_article_not_near,low,exact_alias_and_escc_in_same_article_not_near,13,1,17,4,TMEM158 alias and ESCC terms occurred in the same PMC article but not in proximity; treated as background/reference-list risk rather than direct duplication.,Manual supplement check only if article has downloadable supplementary tables.
DG029,Novel anti-tumor strategies: targeting the crosstalk between cancer stem cells and cancer-associated fibroblasts to resist drug resistance.,PMC12883345,auto_xml_reviewed_same_article_not_near,low,exact_alias_and_escc_in_same_article_not_near,5,6,6,519,TMEM158 alias and ESCC terms occurred in the same PMC article but not in proximity; treated as background/reference-list risk rather than direct duplication.,Manual supplement check only if article has downloadable supplementary tables.
DG030,"Cancer-Associated Fibroblasts: Origin, Classification, Tumorigenicity, and Targeting for Cancer Therapy.",PMC12559857,manual_required_fetch_failed_or_unreadable,manual,fetch_failed_manual_required,0,0,0,0,PMC XML fetch failed; publisher/full-text review still required.,Manual supplement check only if article has downloadable supplementary tables.
DG031,Role of exosomal non‑coding RNAs in cancer‑associated fibroblast‑mediated therapy resistance (Review).,PMC12274182,auto_xml_reviewed_same_article_not_near,low,exact_alias_and_escc_in_same_article_not_near,1,14,1,543,TMEM158 alias and ESCC terms occurred in the same PMC article but not in proximity; treated as background/reference-list risk rather than direct duplication.,Manual supplement check only if article has downloadable supplementary tables.
DG032,Emerging role of cancer-associated fibroblasts in the premetastatic niche.,PMC12505563,auto_xml_reviewed_context_boundary,boundary,manual_high_priority_exact_alias_escc_context,1,3,2,815,"Exact TMEM158/RIS1 alias co-occurred with ESCC-like or signature/stroma terms in PMC XML, but source title/context indicates non-ESCC primary article or broad review; no direct TMEM158-ESCC TAC/CaUPR duplicate was detected by XML scan.",Manual supplement check only if article has downloadable supplementary tables.
DG033,Exploring the diversity of cancer-associated fibroblasts: insights into mechanisms of drug resistance.,PMC11137237,auto_xml_reviewed_no_direct_escc_duplication,low,exact_alias_non_escc_or_review_context,1,0,0,379,PMC XML did not show a direct TMEM158-ESCC axis/ecology duplication signal.,Manual supplement check only if article has downloadable supplementary tables.
DG034,"Transcriptome analysis reveals differences in cell cycle, growth and migration related genes that distinguish fibroblasts derived from pre-invasive and invasive breast cancer.",PMC10118028,auto_xml_reviewed_same_article_not_near,low,exact_alias_and_escc_in_same_article_not_near,3,1,0,738,TMEM158 alias and ESCC terms occurred in the same PMC article but not in proximity; treated as background/reference-list risk rather than direct duplication.,Manual supplement check only if article has downloadable supplementary tables.
DG035,Evidence Based on an Integrative Analysis of Multi-Omics Data on METTL7A as a Molecular Marker in Pan-Cancer.,PMC9952925,auto_xml_reviewed_same_article_not_near,low,exact_alias_and_escc_in_same_article_not_near,2,2,0,0,TMEM158 alias and ESCC terms occurred in the same PMC article but not in proximity; treated as background/reference-list risk rather than direct duplication.,Manual supplement check only if article has downloadable supplementary tables.
DG036,Identification of Differentially Expressed Genes Reveals BGN Predicting Overall Survival and Tumor Immune Infiltration of Gastric Cancer.,PMC8641985,auto_xml_reviewed_same_article_not_near,low,exact_alias_and_escc_in_same_article_not_near,2,2,0,13,TMEM158 alias and ESCC terms occurred in the same PMC article but not in proximity; treated as background/reference-list risk rather than direct duplication.,Manual supplement check only if article has downloadable supplementary tables.
DG037,Identification of m7G-Related LncRNA Signature for Predicting Prognosis and Evaluating Tumor Immune Infiltration in Pancreatic Adenocarcinoma.,PMC10217316,auto_xml_reviewed_same_article_not_near,low,exact_alias_and_escc_in_same_article_not_near,1,1,0,3,TMEM158 alias and ESCC terms occurred in the same PMC article but not in proximity; treated as background/reference-list risk rather than direct duplication.,Manual supplement check only if article has downloadable supplementary tables.
DG038,Tumor suppressor in lung cancer 1 (TSLC1) alters tumorigenic growth properties and gene expression.,PMC1208945,auto_xml_reviewed_no_direct_escc_duplication,low,ris1_only_noise_or_legacy_context,0,2,3,13,PMC XML did not show a direct TMEM158-ESCC axis/ecology duplication signal.,Manual supplement check only if article has downloadable supplementary tables.
DG039,TMEM Proteins in Cancer: A Review.,PMC6291505,auto_xml_reviewed_same_article_not_near,low,exact_alias_and_escc_in_same_article_not_near,12,7,3,7,TMEM158 alias and ESCC terms occurred in the same PMC article but not in proximity; treated as background/reference-list risk rather than direct duplication.,Manual supplement check only if article has downloadable supplementary tables.
DG040,Ras-association domain family 1C protein promotes breast cancer cell migration and attenuates apoptosis.,PMC2965177,auto_xml_reviewed_same_article_not_near,low,exact_alias_and_escc_in_same_article_not_near,3,1,0,11,TMEM158 alias and ESCC terms occurred in the same PMC article but not in proximity; treated as background/reference-list risk rather than direct duplication.,Manual supplement check only if article has downloadable supplementary tables.
